Carimbo de data/hora,Qual a sua ideia ou como você vem atuando contra intolerância na Internet?,Qual conhecimento ajudaria a fortalecer a sua ideia ou projeto?,O que te impede de adquirir esse conhecimento com os recursos disponíveis na Internet hoje?,Onde você costuma consumir esse tipo de conteúdo?,Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Vídeo],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Texto],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Infográfico],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Slide],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Podcast],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Livro/e-book],Como você descreve a utilidade dos formatos abaixo para aquisição de conhecimento? [Post em rede social],Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Boa organização],Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Possui interatividade],Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Tema do meu interesse],"Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Está no meu formato preferido (Texto, vídeo, post)]",Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Linguagem descontraída],Numa escala de 1 a 5 o que faz você ficar e consumir um conteúdo até o final? [Curta duração]
05/02/2019 00:57:51,Educação,"Como funciona a tecnologia por trás das redes sociais, Como construir contra-narrativas (de forma exemplificada), Como funcionam algoritmos e como eles influenciam na minha vida, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Falta de tempo, Preguiça/Procrastinação","Rede social, Portal de notícia, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Extremamente útil,Relativamente útil,Extremamente útil,Muito útil,Muito útil,Relativamente útil,Relativamente útil,Extremamente atrativo,Muito atrativo,Muito atrativo,Muito atrativo,Relativamente atrativo,Muito atrativo
05/02/2019 08:34:02,"Jornalismo, Educação, Produção de vídeos/filmes/documentários, Produção de conteúdo em redes sociais/sites/blogs","Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar","Conteúdo pago, Falta de tempo, Preguiça/Procrastinação","Livro, Rede social, Artigo científico, Portal de notícia, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Muito útil,Extremamente útil,Extremamente útil,Muito útil,Extremamente útil,Extremamente útil,Muito útil,Extremamente atrativo,Muito atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Relativamente atrativo
05/02/2019 15:31:42,Produção de conteúdo em redes sociais/sites/blogs,"Como funciona a tecnologia por trás das redes sociais, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Falta de tempo, Foge da minha área de formação/trabalho","Livro, Rede social, Artigo científico, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Extremamente útil,Muito útil,Extremamente útil,Muito útil,Extremamente útil,Extremamente útil,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Extremamente atrativo,Muito atrativo
05/02/2019 23:30:15,"Educação, Produção de conteúdo em redes sociais/sites/blogs","Como conseguir dados para a minha narrativa, Como posso defender pessoas ou um grupo de pessoas? Como ""blindar"" conteúdo ofensivo e disseminar conteúdos verificados e embasados em fatos reais e conferidos?","Exemplos distantes da minha realidade, Falta de conteúdo","Rede social, Artigo científico, Portal de notícia",Relativamente útil,Relativamente útil,Pouco útil,Relativamente útil,Relativamente útil,Relativamente útil,Pouco útil,Relativamente atrativo,Pouco atrativo,Relativamente atrativo,Relativamente atrativo,Relativamente atrativo,Pouco atrativo
06/02/2019 01:49:31,Jornalismo,Como funcionam algoritmos e como eles influenciam na minha vida,Falta de tempo,Portal de notícia,Relativamente útil,Relativamente útil,Relativamente útil,Pouco útil,Pouco útil,Pouco útil,Pouco útil,Relativamente atrativo,Relativamente atrativo,Relativamente atrativo,Pouco atrativo,Pouco atrativo,Relativamente atrativo
06/02/2019 22:47:16,Produção de conteúdo em redes sociais/sites/blogs,"Como funciona a tecnologia por trás das redes sociais, Como conseguir dados para a minha narrativa, Como funcionam algoritmos e como eles influenciam na minha vida, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo que exige dedicação prolongada, Falta de tempo, Foge da minha área de formação/trabalho, Preguiça/Procrastinação","Rede social, Artigo científico, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Extremamente útil,Extremamente útil,Muito útil,Relativamente útil,Muito útil,Extremamente útil,Muito útil,Extremamente atrativo,Muito atrativo,Extremamente atrativo,Muito atrativo,Relativamente atrativo,Extremamente atrativo
10/02/2019 20:23:46,"Educação, Produção de conteúdo em redes sociais/sites/blogs","Como funciona a tecnologia por trás das redes sociais, Como conseguir dados para a minha narrativa, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo pago, Foge da minha área de formação/trabalho, Preguiça/Procrastinação",Rede social,Muito útil,Relativamente útil,Extremamente útil,Pouco útil,Pouco útil,Muito útil,Muito útil,Relativamente atrativo,Extremamente atrativo,Extremamente atrativo,Relativamente atrativo,Muito atrativo,Extremamente atrativo
12/02/2019 13:54:56,Produção de conteúdo em redes sociais/sites/blogs,"Como construir contra-narrativas (de forma exemplificada), Como funcionam algoritmos e como eles influenciam na minha vida",Preguiça/Procrastinação,"Livro, Rede social, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Extremamente útil,Muito útil,Extremamente útil,Relativamente útil,Muito útil,Muito útil,Extremamente útil,Extremamente atrativo,Relativamente atrativo,Extremamente atrativo,Extremamente atrativo,Nada atrativo,Extremamente atrativo
12/02/2019 14:38:26,Produção de conteúdo em redes sociais/sites/blogs,Como construir contra-narrativas (de forma exemplificada),Falta de conteúdo,"Livro, Rede social, Podcast",Extremamente útil,Extremamente útil,Relativamente útil,Muito útil,Muito útil,Muito útil,Muito útil,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Muito atrativo,Relativamente atrativo
12/02/2019 20:52:57,Produção de conteúdo em redes sociais/sites/blogs,Como funcionam algoritmos e como eles influenciam na minha vida,"Exemplos distantes da minha realidade, Falta de tempo, Foge da minha área de formação/trabalho","Artigo científico, Streaming de vídeo (Youtube, Netflix, Vimeo)",Relativamente útil,Relativamente útil,Pouco útil,Nada útil,Pouco útil,Relativamente útil,Pouco útil,Relativamente atrativo,Pouco atrativo,Relativamente atrativo,Relativamente atrativo,Relativamente atrativo,Pouco atrativo
12/02/2019 20:57:50,Produção de conteúdo em redes sociais/sites/blogs,Ferramentas de edição de imagem e vídeo.,"Conteúdo pago, Linguagem difícil de entender, Falta de tempo","Rede social, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Extremamente útil,Muito útil,Relativamente útil,Extremamente útil,Relativamente útil,Relativamente útil,Relativamente atrativo,Relativamente atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Muito atrativo
12/02/2019 20:58:25,Produção de vídeos/filmes/documentários,Como conseguir dados para a minha narrativa,Falta de tempo,"Streaming de vídeo (Youtube, Netflix, Vimeo)",Muito útil,Relativamente útil,Muito útil,Relativamente útil,Muito útil,Muito útil,Pouco útil,Extremamente atrativo,Nada atrativo,Extremamente atrativo,Muito atrativo,Pouco atrativo,Relativamente atrativo
12/02/2019 21:03:03,"Jornalismo, Educação, Produção de conteúdo em redes sociais/sites/blogs","Como conseguir dados para a minha narrativa, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Preferência por conteúdo presencial, Exemplos distantes da minha realidade, Falta de tempo","Livro, Rede social, Artigo científico, Portal de notícia, Streaming de vídeo (Youtube, Netflix, Vimeo)",Relativamente útil,Relativamente útil,Relativamente útil,Pouco útil,Pouco útil,Relativamente útil,Pouco útil,Relativamente atrativo,Relativamente atrativo,Relativamente atrativo,Pouco atrativo,Relativamente atrativo,Pouco atrativo
12/02/2019 21:03:22,Produção de conteúdo em redes sociais/sites/blogs,"Como funciona a tecnologia por trás das redes sociais, Como conseguir dados para a minha narrativa, Como construir contra-narrativas (de forma exemplificada), Como funcionam algoritmos e como eles influenciam na minha vida, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo pago, Linguagem difícil de entender","Livro, Rede social, Artigo científico, Portal de notícia, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Extremamente útil,Muito útil,Extremamente útil,Relativamente útil,Extremamente útil,Extremamente útil,Muito útil,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Muito atrativo
12/02/2019 21:04:52,Produção de conteúdo em redes sociais/sites/blogs,Como funciona a tecnologia por trás das redes sociais,Conteúdo que exige dedicação prolongada,Portal de notícia,Extremamente útil,Relativamente útil,Muito útil,Muito útil,Relativamente útil,Muito útil,Extremamente útil,Muito atrativo,Muito atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo
12/02/2019 21:09:27,Produção de vídeos/filmes/documentários,Como funcionam algoritmos e como eles influenciam na minha vida,Linguagem difícil de entender,Rede social,Extremamente útil,Muito útil,Relativamente útil,Relativamente útil,Relativamente útil,Muito útil,Extremamente útil,Extremamente atrativo,Muito atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Extremamente atrativo
12/02/2019 21:10:18,"Produção de vídeos/filmes/documentários, Produção de conteúdo em redes sociais/sites/blogs","Como conseguir dados para a minha narrativa, Como construir contra-narrativas (de forma exemplificada), Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo que exige dedicação prolongada, Falta de tempo, Foge da minha área de formação/trabalho, Preguiça/Procrastinação","Rede social, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Muito útil,Extremamente útil,Relativamente útil,Pouco útil,Relativamente útil,Muito útil,Muito atrativo,Muito atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Muito atrativo
12/02/2019 21:11:52,Produção de conteúdo em redes sociais/sites/blogs,"Como construir contra-narrativas (de forma exemplificada), Como funcionam algoritmos e como eles influenciam na minha vida","Conteúdo pago, Conteúdo que exige dedicação prolongada","Artigo científico, Portal de notícia",Relativamente útil,Relativamente útil,Relativamente útil,Relativamente útil,Pouco útil,Relativamente útil,Relativamente útil,Relativamente atrativo,Pouco atrativo,Relativamente atrativo,Relativamente atrativo,Pouco atrativo,Relativamente atrativo
12/02/2019 21:16:04,"Produção de conteúdo em redes sociais/sites/blogs, Pesquisa de demandas sociais por meio da internet","Como funciona a tecnologia por trás das redes sociais, Como os dados públicos podem me ajudar, Ferramentas de monitoramento de hashtags",Foge da minha área de formação/trabalho,"Rede social, Artigo científico, Portal de notícia",Relativamente útil,Extremamente útil,Extremamente útil,Relativamente útil,Relativamente útil,Relativamente útil,Relativamente útil,Extremamente atrativo,Relativamente atrativo,Extremamente atrativo,Extremamente atrativo,Relativamente atrativo,Relativamente atrativo
12/02/2019 21:22:48,Produção de conteúdo em redes sociais/sites/blogs,"Como conseguir dados para a minha narrativa, Como os dados públicos podem me ajudar","Conteúdo pago, Falta de tempo, Falta de conteúdo","Rede social, Artigo científico, Podcast",Muito útil,Muito útil,Extremamente útil,Muito útil,Muito útil,Relativamente útil,Relativamente útil,Relativamente atrativo,Muito atrativo,Extremamente atrativo,Muito atrativo,Muito atrativo,Muito atrativo
12/02/2019 22:13:08,Produção de conteúdo em redes sociais/sites/blogs,"Como funciona a tecnologia por trás das redes sociais, Como funcionam algoritmos e como eles influenciam na minha vida, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?",Falta de tempo,"Rede social, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Muito útil,Extremamente útil,Pouco útil,Relativamente útil,Relativamente útil,Muito útil,Extremamente atrativo,Relativamente atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Relativamente atrativo
12/02/2019 22:15:53,"Educação, Produção de conteúdo em redes sociais/sites/blogs","Como conseguir dados para a minha narrativa, Como construir contra-narrativas (de forma exemplificada), Como eu posso me defender na Internet e quem são os atores responsáveis por isso","Linguagem difícil de entender, Conteúdo que exige dedicação prolongada, Falta de tempo, Preguiça/Procrastinação","Rede social, Portal de notícia, Streaming de vídeo (Youtube, Netflix, Vimeo)",Muito útil,Relativamente útil,Muito útil,Relativamente útil,Relativamente útil,Relativamente útil,Relativamente útil,Relativamente atrativo,Muito atrativo,Muito atrativo,Relativamente atrativo,Muito atrativo,Muito atrativo
12/02/2019 23:32:06,"Jornalismo, Produção de conteúdo em redes sociais/sites/blogs","Como conseguir dados para a minha narrativa, Como funcionam algoritmos e como eles influenciam na minha vida, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo pago, Preferência por conteúdo presencial","Livro, Artigo científico, Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Extremamente útil,Extremamente útil,Extremamente útil,Extremamente útil,Muito útil,Extremamente útil,Extremamente útil,Extremamente atrativo,Extremamente atrativo,Relativamente atrativo,Muito atrativo,Extremamente atrativo,Relativamente atrativo
12/02/2019 23:52:27,Produção de conteúdo em redes sociais/sites/blogs,"Como funciona a tecnologia por trás das redes sociais, Como conseguir dados para a minha narrativa, Como construir contra-narrativas (de forma exemplificada), Como funcionam algoritmos e como eles influenciam na minha vida, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo que exige dedicação prolongada, Falta de conteúdo","Rede social, Portal de notícia, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Extremamente útil,Extremamente útil,Relativamente útil,Muito útil,Muito útil,Extremamente útil,Extremamente atrativo,Relativamente atrativo,Relativamente atrativo,Muito atrativo,Extremamente atrativo,Extremamente atrativo
13/02/2019 00:17:25,"Educação, Produção de vídeos/filmes/documentários","Como funciona a tecnologia por trás das redes sociais, Como construir contra-narrativas (de forma exemplificada)",Exemplos distantes da minha realidade,"Rede social, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Extremamente útil,Muito útil,Extremamente útil,Relativamente útil,Relativamente útil,Extremamente útil,Relativamente atrativo,Muito atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Extremamente atrativo
13/02/2019 02:36:48,Produção de vídeos/filmes/documentários,Como funciona a tecnologia por trás das redes sociais,"Conteúdo que exige dedicação prolongada, Falta de tempo","Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Muito útil,Extremamente útil,Relativamente útil,Relativamente útil,Muito útil,Relativamente útil,Muito atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Pouco atrativo
13/02/2019 12:22:56,"Educação, Produção de conteúdo em redes sociais/sites/blogs, Produção acadêmica analítica e de divulgação acerca dos pensamentos contemporâneos.","Como conseguir dados para a minha narrativa, Como funcionam algoritmos e como eles influenciam na minha vida, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar","Conteúdo pago, Preferência por conteúdo presencial","Livro, Rede social, Artigo científico, Podcast",Extremamente útil,Extremamente útil,Extremamente útil,Extremamente útil,Extremamente útil,Extremamente útil,Extremamente útil,Extremamente atrativo,Muito atrativo,Extremamente atrativo,Muito atrativo,Relativamente atrativo,Relativamente atrativo
13/02/2019 12:24:47,"Produção de vídeos/filmes/documentários, Tenho canal no YouTube sobre vivencia","Como funciona a tecnologia por trás das redes sociais, Como conseguir dados para a minha narrativa, Como construir contra-narrativas (de forma exemplificada), Como funcionam algoritmos e como eles influenciam na minha vida, Como os dados públicos podem me ajudar, Empoderamente tecnico, como editar por exemplo","Foge da minha área de formação/trabalho, Nao sei aonde encontrar a informcao/instrucao de como fazer","Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Muito útil,Muito útil,Relativamente útil,Pouco útil,Pouco útil,Relativamente útil,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Relativamente atrativo
13/02/2019 18:12:02,"Produção de vídeos/filmes/documentários, Produção de conteúdo em redes sociais/sites/blogs","Como funcionam algoritmos e como eles influenciam na minha vida, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo que exige dedicação prolongada, Falta de tempo, Preguiça/Procrastinação","Livro, Rede social, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Relativamente útil,Muito útil,Pouco útil,Pouco útil,Pouco útil,Relativamente útil,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo
14/02/2019 15:25:47,"Produção de vídeos/filmes/documentários, Produção de conteúdo em redes sociais/sites/blogs","Como funcionam algoritmos e como eles influenciam na minha vida, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Linguagem difícil de entender, Conteúdo que exige dedicação prolongada","Rede social, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Extremamente útil,Extremamente útil,Extremamente útil,Extremamente útil,Extremamente útil,Relativamente útil,Muito atrativo,Muito atrativo,Extremamente atrativo,Extremamente atrativo,Muito atrativo,Muito atrativo
14/02/2019 17:56:32,Produção de conteúdo em redes sociais/sites/blogs,Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?,"Falta de tempo, Foge da minha área de formação/trabalho","Rede social, Podcast",Pouco útil,Muito útil,Relativamente útil,Pouco útil,Extremamente útil,Pouco útil,Relativamente útil,Muito atrativo,Muito atrativo,Muito atrativo,Muito atrativo,Muito atrativo,Muito atrativo
14/02/2019 20:21:52,"Jornalismo, Produção de conteúdo em redes sociais/sites/blogs","Como funcionam algoritmos e como eles influenciam na minha vida, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo pago, Exemplos distantes da minha realidade","Rede social, Streaming de vídeo (Youtube, Netflix, Vimeo)",Relativamente útil,Relativamente útil,Relativamente útil,Pouco útil,Relativamente útil,Relativamente útil,Relativamente útil,Relativamente atrativo,Relativamente atrativo,Pouco atrativo,Relativamente atrativo,Pouco atrativo,Nada atrativo
14/02/2019 22:01:55,"Jornalismo, Produção de conteúdo em redes sociais/sites/blogs","Como funciona a tecnologia por trás das redes sociais, Como funcionam algoritmos e como eles influenciam na minha vida, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar, Como usar redes sociais de forma segura: Autenticação em duas etapas? Aba anônima?","Conteúdo pago, Conteúdo que exige dedicação prolongada, Falta de tempo","Rede social, Portal de notícia, Streaming de vídeo (Youtube, Netflix, Vimeo)",Extremamente útil,Muito útil,Extremamente útil,Relativamente útil,Muito útil,Muito útil,Muito útil,Muito atrativo,Muito atrativo,Extremamente atrativo,Relativamente atrativo,Extremamente atrativo,Relativamente atrativo
15/02/2019 21:43:30,Jornalismo,Como os dados públicos podem me ajudar,"Preferência por conteúdo presencial, Linguagem difícil de entender, Conteúdo que exige dedicação prolongada, Falta de tempo, Falta de conteúdo",Artigo científico,Muito útil,Muito útil,Muito útil,Relativamente útil,Pouco útil,Muito útil,Relativamente útil,Extremamente atrativo,Muito atrativo,Extremamente atrativo,Muito atrativo,Relativamente atrativo,Relativamente atrativo
19/02/2019 13:35:46,"Educação, Produção de vídeos/filmes/documentários","Como funciona a tecnologia por trás das redes sociais, Como conseguir dados para a minha narrativa, Como construir contra-narrativas (de forma exemplificada), Como eu posso me defender na Internet e quem são os atores responsáveis por isso","Linguagem difícil de entender, Conteúdo que exige dedicação prolongada, Falta de tempo, Foge da minha área de formação/trabalho","Livro, Artigo científico",Muito útil,Extremamente útil,Relativamente útil,Relativamente útil,Relativamente útil,Muito útil,Relativamente útil,Muito atrativo,Relativamente atrativo,Extremamente atrativo,Muito atrativo,Muito atrativo,Muito atrativo
21/02/2019 13:08:21,Educação,Como eu posso me defender na Internet e quem são os atores responsáveis por isso,"Conteúdo que exige dedicação prolongada, Falta de tempo, Foge da minha área de formação/trabalho, Preguiça/Procrastinação","Livro, Rede social, Portal de notícia, Podcast",Muito útil,Relativamente útil,Pouco útil,Pouco útil,Muito útil,Pouco útil,Extremamente útil,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo,Extremamente atrativo
17/03/2019 07:09:08,Educação,"Como funciona a tecnologia por trás das redes sociais, Como funcionam algoritmos e como eles influenciam na minha vida, Como eu posso me defender na Internet e quem são os atores responsáveis por isso, Como os dados públicos podem me ajudar","Conteúdo que exige dedicação prolongada, Falta de tempo","Streaming de vídeo (Youtube, Netflix, Vimeo), Podcast",Relativamente útil,Relativamente útil,Pouco útil,Pouco útil,Relativamente útil,Relativamente útil,Relativamente útil,Relativamente atrativo,Pouco atrativo,Relativamente atrativo,Relativamente atrativo,Pouco atrativo,Pouco atrativo