Período,Domínio,Únicas,Duplicadas,Total
01/01/2006 a 31/01/2006,geocities.com,13,0,13
01/01/2006 a 31/01/2006,yahoo.com,4,0,4
01/01/2006 a 31/01/2006,freepichosting.info,11,0,11
01/01/2006 a 31/01/2006,wol.bz,18,0,18
01/01/2006 a 31/01/2006,orkut.com,204,1,205
01/01/2006 a 31/01/2006,coredump.cx,17,0,17
01/01/2006 a 31/01/2006,sweetsassyass.com,14,0,14
01/01/2006 a 31/01/2006,msn.com,13,0,13
01/01/2006 a 31/01/2006,kit.net,43,0,43
01/01/2006 a 31/01/2006,pixlog.net,7,0,7
,,,,
01/02/2006 a 28/02/2006,hyperporno.com.br,6,0,6
01/02/2006 a 28/02/2006,ihostphotos.com,8,0,8
01/02/2006 a 28/02/2006,newstar-cherry.com,11,0,11
01/02/2006 a 28/02/2006,newstar-alisa.com,6,0,6
01/02/2006 a 28/02/2006,heaven-portal.com,34,0,34
01/02/2006 a 28/02/2006,disponivel.com,16,0,16
01/02/2006 a 28/02/2006,orkut.com,316,51,367
01/02/2006 a 28/02/2006,msn.com,24,0,24
01/02/2006 a 28/02/2006,newstar-victoria-archive.com,10,0,10
01/02/2006 a 28/02/2006,kit.net,20,0,20
,,,,
01/03/2006 a 31/03/2006,elwebbs.biz,30,0,30
01/03/2006 a 31/03/2006,findnudists.com,26,0,26
01/03/2006 a 31/03/2006,flogao.com.br,18,0,18
01/03/2006 a 31/03/2006,lolita-sites.net,12,0,12
01/03/2006 a 31/03/2006,nextlittle.com,18,0,18
01/03/2006 a 31/03/2006,orkut.com,1194,911,2105
01/03/2006 a 31/03/2006,uol.com.br,11,1,12
01/03/2006 a 31/03/2006,mujweb.cz,9,78,87
01/03/2006 a 31/03/2006,msn.com,12,0,12
,,,,
01/04/2006 a 30/04/2006,terra.com.br,8,6,14
01/04/2006 a 30/04/2006,fotoplenka.ru,13,0,13
01/04/2006 a 30/04/2006,geocities.com,6,0,6
01/04/2006 a 30/04/2006,mercadolivre.com.br,11,0,11
01/04/2006 a 30/04/2006,rapidshare.de,51,5,56
01/04/2006 a 30/04/2006,flogao.com.br,15,2,17
01/04/2006 a 30/04/2006,orkut.com,3992,8567,12559
01/04/2006 a 30/04/2006,uol.com.br,9,0,9
01/04/2006 a 30/04/2006,ecstazy.biz,6,1,7
,,,,
01/05/2006 a 31/05/2006,terra.com.br,7,3,10
01/05/2006 a 31/05/2006,geocities.com,3,1,4
01/05/2006 a 31/05/2006,rapidshare.de,15,1,16
01/05/2006 a 31/05/2006,flogao.com.br,15,1,16
01/05/2006 a 31/05/2006,0bbs.jp,4,0,4
01/05/2006 a 31/05/2006,megashares.com,16,0,16
01/05/2006 a 31/05/2006,orkut.com,3336,9355,12691
01/05/2006 a 31/05/2006,uol.com.br,13,3,16
01/05/2006 a 31/05/2006,pcforum.com.br,4,0,4
,,,,
01/06/2006 a 30/06/2006,lo-fantasy.com,7,0,7
01/06/2006 a 30/06/2006,youtube.com,4,1,5
01/06/2006 a 30/06/2006,repon.info,17,1,18
01/06/2006 a 30/06/2006,geocities.com,10,15,25
01/06/2006 a 30/06/2006,firstundress.com,10,0,10
01/06/2006 a 30/06/2006,porkyhost.com,4,5,9
01/06/2006 a 30/06/2006,flogao.com.br,5,2,7
01/06/2006 a 30/06/2006,fotolog.com,8,3,11
01/06/2006 a 30/06/2006,orkut.com,3724,19783,23507
,,,,
01/07/2006 a 31/07/2006,sexolandia.org,14,0,14
01/07/2006 a 31/07/2006,lolparad.com,6,33,39
01/07/2006 a 31/07/2006,c700.com,5,7,12
01/07/2006 a 31/07/2006,youtube.com,5,0,5
01/07/2006 a 31/07/2006,imageshack.us,7,41,48
01/07/2006 a 31/07/2006,fotolog.com,6,3,9
01/07/2006 a 31/07/2006,newpussypics.com,4,2,6
01/07/2006 a 31/07/2006,orkut.com,3833,23311,27144
01/07/2006 a 31/07/2006,uol.com.br,9,86,95
,,,,
01/08/2006 a 31/08/2006,ecstazy.info,4,0,4
01/08/2006 a 31/08/2006,youtube.com,8,0,8
01/08/2006 a 31/08/2006,ig.com.br,5,4,9
01/08/2006 a 31/08/2006,flogao.com.br,5,2,7
01/08/2006 a 31/08/2006,fotolog.com,4,7,11
01/08/2006 a 31/08/2006,girls2006.info,4,0,4
01/08/2006 a 31/08/2006,lo2006.com,6,1,7
01/08/2006 a 31/08/2006,orkut.com,3010,26804,29814
01/08/2006 a 31/08/2006,uol.com.br,5,44,49
,,,,
01/09/2006 a 30/09/2006,lolparad.com,7,22,29
01/09/2006 a 30/09/2006,reflexteens.com,3,64,67
01/09/2006 a 30/09/2006,youtube.com,4,0,4
01/09/2006 a 30/09/2006,torperkut.com,5,0,5
01/09/2006 a 30/09/2006,ig.com.br,4,1,5
01/09/2006 a 30/09/2006,flogao.com.br,10,0,10
01/09/2006 a 30/09/2006,wwworkut.com,5,1,6
01/09/2006 a 30/09/2006,orkut.com,3057,47803,50860
01/09/2006 a 30/09/2006,uol.com.br,11,2,13
,,,,
01/10/2006 a 31/10/2006,ecstazy.info,4,0,4
01/10/2006 a 31/10/2006,cutelitt.com,4,1,5
01/10/2006 a 31/10/2006,youtube.com,19,105,124
01/10/2006 a 31/10/2006,geocities.com,4,2,6
01/10/2006 a 31/10/2006,ig.com.br,6,1,7
01/10/2006 a 31/10/2006,flogao.com.br,8,1,9
01/10/2006 a 31/10/2006,yahoo.com,9,1,10
01/10/2006 a 31/10/2006,orkut.com,3576,51443,55019
01/10/2006 a 31/10/2006,uol.com.br,15,1,16
,,,,
01/11/2006 a 30/11/2006,cutelitt.com,14,8,22
01/11/2006 a 30/11/2006,youtube.com,16,150,166
01/11/2006 a 30/11/2006,repon.info,6,8,14
01/11/2006 a 30/11/2006,geocities.com,11,14,25
01/11/2006 a 30/11/2006,fotolog.com,8,9,17
01/11/2006 a 30/11/2006,giroskopes.com,6,8,14
01/11/2006 a 30/11/2006,orkut.com,4126,64592,68718
01/11/2006 a 30/11/2006,gazzag.com,6,45,51
01/11/2006 a 30/11/2006,kit.net,5,2,7
,,,,
01/12/2006 a 31/12/2006,teenteen.biz,6,6,12
01/12/2006 a 31/12/2006,terra.com.br,4,3,7
01/12/2006 a 31/12/2006,ig.com.br,6,6,12
01/12/2006 a 31/12/2006,flogao.com.br,3,1,4
01/12/2006 a 31/12/2006,fotolog.com,6,0,6
01/12/2006 a 31/12/2006,3.122,19,4,23
01/12/2006 a 31/12/2006,orkut.com,3414,38171,41585
01/12/2006 a 31/12/2006,uol.com.br,12,8,20
01/12/2006 a 31/12/2006,lustgal.com,3,42,45
,,,,
01/01/2007 a 31/01/2007,prisex.com,8,1,9
01/01/2007 a 31/01/2007,youtube.com,13,3,16
01/01/2007 a 31/01/2007,ig.com.br,5,5,10
01/01/2007 a 31/01/2007,uolk.com.br,17,2,19
01/01/2007 a 31/01/2007,mclt-sites.net,17,0,17
01/01/2007 a 31/01/2007,orkut.com,3261,28816,32077
01/01/2007 a 31/01/2007,uol.com.br,24,3,27
01/01/2007 a 31/01/2007,vivos.com.br,6,2,8
01/01/2007 a 31/01/2007,manuzinha.com,11,3,14
01/01/2007 a 31/01/2007,cuteloblog.com,6,8,14
,,,,
01/02/2007 a 28/02/2007,whiterevolution-ne.org,15,2,17
01/02/2007 a 28/02/2007,youtube.com,68,32,100
01/02/2007 a 28/02/2007,pornotube.com,40,4,44
01/02/2007 a 28/02/2007,ig.com.br,9,3,12
01/02/2007 a 28/02/2007,wwworkut.com,22,1,23
01/02/2007 a 28/02/2007,uolk.com.br,9,4,13
01/02/2007 a 28/02/2007,orkut.com,2768,24064,26832
01/02/2007 a 28/02/2007,uol.com.br,27,15,42
01/02/2007 a 28/02/2007,www.orkutcom,8,0,8
01/02/2007 a 28/02/2007,imagefap.com,7,0,7
,,,,
01/03/2007 a 31/03/2007,zip.net,8,7,15
01/03/2007 a 31/03/2007,youtube.com,10,70,80
01/03/2007 a 31/03/2007,pornotube.com,64,27,91
01/03/2007 a 31/03/2007,ig.com.br,7,1,8
01/03/2007 a 31/03/2007,wwworkut.com,212,22,234
01/03/2007 a 31/03/2007,uolk.com.br,8,2,10
01/03/2007 a 31/03/2007,orkut.com,3959,35130,39089
01/03/2007 a 31/03/2007,uol.com.br,18,13,31
01/03/2007 a 31/03/2007,orku.com,23,0,23
,,,,
01/04/2007 a 30/04/2007,youtube.com,13,8,21
01/04/2007 a 30/04/2007,magicvideo.biz,6,5,11
01/04/2007 a 30/04/2007,yahoo.com,7,1,8
01/04/2007 a 30/04/2007,livedoor.jp,8,1,9
01/04/2007 a 30/04/2007,mclt-sites.net,11,67,78
01/04/2007 a 30/04/2007,orkut.com,4840,39328,44168
01/04/2007 a 30/04/2007,uol.com.br,36,24,60
01/04/2007 a 30/04/2007,www.com,8,0,8
01/04/2007 a 30/04/2007,imagefap.com,9,0,9
,,,,
01/05/2007 a 31/05/2007,youtube.com,20,5,25
01/05/2007 a 31/05/2007,orkut.com,5697,55970,61667
01/05/2007 a 31/05/2007,uol.com.br,63,29,92
01/05/2007 a 31/05/2007,littlelupe.com,11,0,11
01/05/2007 a 31/05/2007,lolita2007.com,12,18,30
01/05/2007 a 31/05/2007,locollection.com,8,30,38
01/05/2007 a 31/05/2007,thecrazypedo.com,23,1002,1025
01/05/2007 a 31/05/2007,www.com,9,1,10
01/05/2007 a 31/05/2007,ygirlz.info,7,9,16
,,,,
01/06/2007 a 30/06/2007,youtube.com,26,31,57
01/06/2007 a 30/06/2007,lolalist.info,24,151,175
01/06/2007 a 30/06/2007,imageshack.us,11,36,47
01/06/2007 a 30/06/2007,yahoo.com,18,0,18
01/06/2007 a 30/06/2007,4shared.com,10,15,25
01/06/2007 a 30/06/2007,luziduef.com,17,1,18
01/06/2007 a 30/06/2007,plola.com,7,21,28
01/06/2007 a 30/06/2007,orkut.com,5653,64322,69975
01/06/2007 a 30/06/2007,uol.com.br,47,17,64
,,,,
01/07/2007 a 31/07/2007,nafoto.net,7,6,13
01/07/2007 a 31/07/2007,youtube.com,15,8,23
01/07/2007 a 31/07/2007,depositfiles.com,24,3,27
01/07/2007 a 31/07/2007,geocities.com,12,1,13
01/07/2007 a 31/07/2007,imageshack.us,9,8,17
01/07/2007 a 31/07/2007,rapidshare.com,7,0,7
01/07/2007 a 31/07/2007,orkut.com,5123,71123,76246
01/07/2007 a 31/07/2007,uol.com.br,33,13,46
01/07/2007 a 31/07/2007,littlelupe.com,7,4,11
01/07/2007 a 31/07/2007,imgsrc.ru,9,2,11
,,,,
01/08/2007 a 31/08/2007,youtube.com,17,7,24
01/08/2007 a 31/08/2007,pornotube.com,8,4,12
01/08/2007 a 31/08/2007,imageshack.us,20,42,62
01/08/2007 a 31/08/2007,yahoo.com,14,9,23
01/08/2007 a 31/08/2007,powerscrap.com,43,60,103
01/08/2007 a 31/08/2007,orkut.com,4722,61546,66268
01/08/2007 a 31/08/2007,uol.com.br,23,22,45
01/08/2007 a 31/08/2007,blogger.com,9,28,37
01/08/2007 a 31/08/2007,chueca.com,21,12,33
01/08/2007 a 31/08/2007,orkut.com.br,8,4,12
,,,,
01/09/2007 a 30/09/2007,youtube.com,13,2,15
01/09/2007 a 30/09/2007,yahoo.com,22,4,26
01/09/2007 a 30/09/2007,glamour-new-preview.com,15,23,38
01/09/2007 a 30/09/2007,powerscrap.com,31,113,144
01/09/2007 a 30/09/2007,rapidshare.com,8,0,8
01/09/2007 a 30/09/2007,orkut.com,4269,44106,48375
01/09/2007 a 30/09/2007,uol.com.br,41,15,56
01/09/2007 a 30/09/2007,orku.com,7,0,7
01/09/2007 a 30/09/2007,www.com,14,9,23
,,,,
01/10/2007 a 31/10/2007,nafoto.net,8,0,8
01/10/2007 a 31/10/2007,youtube.com,15,0,15
01/10/2007 a 31/10/2007,imageshack.us,12,2,14
01/10/2007 a 31/10/2007,ucgalleries.com,16,25,41
01/10/2007 a 31/10/2007,rapidshare.com,7,0,7
01/10/2007 a 31/10/2007,clickgratis.com.br,53,5,58
01/10/2007 a 31/10/2007,orkut.com,4410,33542,37952
01/10/2007 a 31/10/2007,uol.com.br,42,24,66
01/10/2007 a 31/10/2007,www.orkutcom,19,0,19
01/10/2007 a 31/10/2007,www.com,113,93,206
,,,,
01/11/2007 a 30/11/2007,pedia.ws,4,0,4
01/11/2007 a 30/11/2007,euodeioomerdil.blogspot.com,5,8,13
01/11/2007 a 30/11/2007,nafoto.net,9,10,19
01/11/2007 a 30/11/2007,youtube.com,13,1,14
01/11/2007 a 30/11/2007,imageshack.us,4,0,4
01/11/2007 a 30/11/2007,orkut.com,6792,51660,58452
01/11/2007 a 30/11/2007,uol.com.br,46,140,186
01/11/2007 a 30/11/2007,blboys.com,4,3,7
01/11/2007 a 30/11/2007,wikipedia.org.br,4,1,5
,,,,
01/12/2007 a 31/12/2007,paran.com,8,50,58
01/12/2007 a 31/12/2007,youtube.com,18,1,19
01/12/2007 a 31/12/2007,imageshack.us,6,0,6
01/12/2007 a 31/12/2007,rapidshare.com,8,0,8
01/12/2007 a 31/12/2007,flickr.com,5,28,33
01/12/2007 a 31/12/2007,110mb.com,24,5,29
01/12/2007 a 31/12/2007,orkut.com,4684,34778,39462
01/12/2007 a 31/12/2007,uol.com.br,32,20,52
01/12/2007 a 31/12/2007,imagebam.com,7,18,25
01/12/2007 a 31/12/2007,imgsrc.ru,9,8,17
,,,,
01/01/2008 a 31/01/2008,youtube.com,18,10,28
01/01/2008 a 31/01/2008,powerscrap.com,28,0,28
01/01/2008 a 31/01/2008,solsem.org,29,4,33
01/01/2008 a 31/01/2008,110mb.com,66,60,126
01/01/2008 a 31/01/2008,orkut.com,5614,37347,42961
01/01/2008 a 31/01/2008,uol.com.br,42,23,65
01/01/2008 a 31/01/2008,chueca.com,16,8,24
01/01/2008 a 31/01/2008,lustbare.info,9,13,22
01/01/2008 a 31/01/2008,imagefap.com,15,0,15
01/01/2008 a 31/01/2008,imgsrc.ru,11,18,29
,,,,
01/02/2008 a 29/02/2008,youtube.com,10,3,13
01/02/2008 a 29/02/2008,imageshack.us,16,2,18
01/02/2008 a 29/02/2008,uploadqueen.com,11,6,17
01/02/2008 a 29/02/2008,usercash.com,25,0,25
01/02/2008 a 29/02/2008,orkut.com,6027,31666,37693
01/02/2008 a 29/02/2008,uol.com.br,35,31,66
01/02/2008 a 29/02/2008,chueca.com,11,4,15
01/02/2008 a 29/02/2008,imagevenue.com,12,0,12
01/02/2008 a 29/02/2008,imagefap.com,17,1,18
01/02/2008 a 29/02/2008,imgsrc.ru,30,2,32
,,,,
01/03/2008 a 31/03/2008,nijiura.com,5,4,9
01/03/2008 a 31/03/2008,youtube.com,23,5,28
01/03/2008 a 31/03/2008,dreamwiz.com,6,1,7
01/03/2008 a 31/03/2008,ig.com.br,6,0,6
01/03/2008 a 31/03/2008,mclt-sites.net,5,3,8
01/03/2008 a 31/03/2008,110mb.com,6,31,37
01/03/2008 a 31/03/2008,orkut.com,5559,34562,40121
01/03/2008 a 31/03/2008,uol.com.br,27,15,42
01/03/2008 a 31/03/2008,imagevenue.com,7,0,7
01/03/2008 a 31/03/2008,imagefap.com,10,1,11
,,,,
01/04/2008 a 30/04/2008,youtube.com,16,3,19
01/04/2008 a 30/04/2008,orkut.com,6129,35645,41774
01/04/2008 a 30/04/2008,uol.com.br,25,19,44
01/04/2008 a 30/04/2008,magazine-fashion.net,7,12,19
01/04/2008 a 30/04/2008,orkut.com.br,82,23,105
01/04/2008 a 30/04/2008,freewebs.com,7,32,39
01/04/2008 a 30/04/2008,vipzax.com,8,1,9
01/04/2008 a 30/04/2008,imagevenue.com,7,5,12
01/04/2008 a 30/04/2008,imagefap.com,8,0,8
,,,,
01/05/2008 a 31/05/2008,youtube.com,27,10,37
01/05/2008 a 31/05/2008,lopix.net,7,1,8
01/05/2008 a 31/05/2008,imageshack.us,8,0,8
01/05/2008 a 31/05/2008,google.com,17,2,19
01/05/2008 a 31/05/2008,orkut.com,6407,46927,53334
01/05/2008 a 31/05/2008,uol.com.br,31,16,47
01/05/2008 a 31/05/2008,orkut.com.br,722,674,1396
01/05/2008 a 31/05/2008,vipzax.com,13,5,18
01/05/2008 a 31/05/2008,imgsrc.ru,19,5,24
,,,,
01/06/2008 a 30/06/2008,youtube.com,43,13,56
01/06/2008 a 30/06/2008,yahoo.com,13,0,13
01/06/2008 a 30/06/2008,rapidshare.com,7,10,17
01/06/2008 a 30/06/2008,uploadqueen.com,21,1,22
01/06/2008 a 30/06/2008,orkut.com,3649,35464,39113
01/06/2008 a 30/06/2008,uol.com.br,68,15,83
01/06/2008 a 30/06/2008,belezaadolescente.blogspot.com,7,31,38
01/06/2008 a 30/06/2008,orkut.com.br,5932,23503,29435
01/06/2008 a 30/06/2008,ucoz.ru,10,0,10
01/06/2008 a 30/06/2008,vipzax.com,9,29,38
,,,,
01/07/2008 a 31/07/2008,youtube.com,64,18,82
01/07/2008 a 31/07/2008,orkut.com,831,23201,24032
01/07/2008 a 31/07/2008,uol.com.br,113,20,133
01/07/2008 a 31/07/2008,orkut.com.br,8433,38855,47288
01/07/2008 a 31/07/2008,yourfilehost.com,9,0,9
01/07/2008 a 31/07/2008,vipzax.com,11,1,12
01/07/2008 a 31/07/2008,gostosastube.com.br,25,7,32
01/07/2008 a 31/07/2008,imagefap.com,8,0,8
01/07/2008 a 31/07/2008,imgsrc.ru,14,1,15
,,,,
01/08/2008 a 31/08/2008,youtube.com,11,4,15
01/08/2008 a 31/08/2008,imageshack.us,5,3,8
01/08/2008 a 31/08/2008,sexpornhost.com,8,3,11
01/08/2008 a 31/08/2008,clickgratis.com.br,6,0,6
01/08/2008 a 31/08/2008,orkut.com,184,13218,13402
01/08/2008 a 31/08/2008,uol.com.br,85,16,101
01/08/2008 a 31/08/2008,badongo.com,7,0,7
01/08/2008 a 31/08/2008,sofuckingfunny.com,6,0,6
01/08/2008 a 31/08/2008,orkut.com.br,6437,36474,42911
01/08/2008 a 31/08/2008,imgsrc.ru,12,3,15
,,,,
01/09/2008 a 30/09/2008,youtube.com,31,4,35
01/09/2008 a 30/09/2008,sexypix.biz,8,0,8
01/09/2008 a 30/09/2008,viplox.com,17,1,18
01/09/2008 a 30/09/2008,lo-reality.cn,11,0,11
01/09/2008 a 30/09/2008,orkut.com,153,9913,10066
01/09/2008 a 30/09/2008,uol.com.br,70,6,76
01/09/2008 a 30/09/2008,sofuckingfunny.com,31,6,37
01/09/2008 a 30/09/2008,greatestsites.biz,11,0,11
01/09/2008 a 30/09/2008,orkut.com.br,6029,36858,42887
01/09/2008 a 30/09/2008,imgsrc.ru,11,3,14
,,,,
01/10/2008 a 31/10/2008,youtube.com,64,4,68
01/10/2008 a 31/10/2008,dreamwiz.com,16,15,31
01/10/2008 a 31/10/2008,yahoo.com,10,0,10
01/10/2008 a 31/10/2008,orkut.com,514,8348,8862
01/10/2008 a 31/10/2008,uol.com.br,128,15,143
01/10/2008 a 31/10/2008,bian.in,43,9,52
01/10/2008 a 31/10/2008,badongo.com,20,0,20
01/10/2008 a 31/10/2008,orkut.com.br,6465,27965,34430
01/10/2008 a 31/10/2008,redtube.com,11,2,13
,,,,
01/11/2008 a 30/11/2008,naturistfreedom.com,9,18,27
01/11/2008 a 30/11/2008,youtube.com,43,16,59
01/11/2008 a 30/11/2008,carlpotterfoll.cn,16,4,20
01/11/2008 a 30/11/2008,orkut.com,272,7708,7980
01/11/2008 a 30/11/2008,uol.com.br,118,18,136
01/11/2008 a 30/11/2008,orkut.com.br,6067,26431,32498
01/11/2008 a 30/11/2008,nqsix.com,7,4,11
01/11/2008 a 30/11/2008,lolpix.cn,9,0,9
01/11/2008 a 30/11/2008,tremworldspicturey.blogspot.com,37,8985,9022
,,,,
01/12/2008 a 31/12/2008,xvideos.com,11,1,12
01/12/2008 a 31/12/2008,youtube.com,12,1,13
01/12/2008 a 31/12/2008,imageshack.us,14,0,14
01/12/2008 a 31/12/2008,yahoo.com,8,1,9
01/12/2008 a 31/12/2008,4shared.com,32,11,43
01/12/2008 a 31/12/2008,orkut.com,321,5384,5705
01/12/2008 a 31/12/2008,uol.com.br,116,18,134
01/12/2008 a 31/12/2008,orkut.com.br,4838,19209,24047
01/12/2008 a 31/12/2008,imagefap.com,10,1,11
,,,,
01/01/2009 a 31/01/2009,winterarea.net,6,0,6
01/01/2009 a 31/01/2009,youtube.com,15,21,36
01/01/2009 a 31/01/2009,imageshack.us,8,0,8
01/01/2009 a 31/01/2009,sapo.pt,7,2,9
01/01/2009 a 31/01/2009,4shared.com,6,4,10
01/01/2009 a 31/01/2009,orkut.com,381,4948,5329
01/01/2009 a 31/01/2009,uol.com.br,132,18,150
01/01/2009 a 31/01/2009,orkut.com.br,4965,19755,24720
01/01/2009 a 31/01/2009,imagebam.com,7,15,22
,,,,
01/02/2009 a 28/02/2009,orkut.cobr,17,0,17
01/02/2009 a 28/02/2009,c.br,15,0,15
01/02/2009 a 28/02/2009,co.br,1605,1475,3080
01/02/2009 a 28/02/2009,youtube.com,51,2,53
01/02/2009 a 28/02/2009,orkut.br,27,0,27
01/02/2009 a 28/02/2009,orkut.com,842,6331,7173
01/02/2009 a 28/02/2009,uol.com.br,120,25,145
01/02/2009 a 28/02/2009,orkut.com.br,4958,19886,24844
01/02/2009 a 28/02/2009,orkut.co,445,281,726
,,,,
01/03/2009 a 31/03/2009,orku.com.br,13,1,14
01/03/2009 a 31/03/2009,co.br,377,328,705
01/03/2009 a 31/03/2009,youtube.com,85,9,94
01/03/2009 a 31/03/2009,m.br,13,3,16
01/03/2009 a 31/03/2009,4shared.com,45,25,70
01/03/2009 a 31/03/2009,orkut.com,612,7087,7699
01/03/2009 a 31/03/2009,uol.com.br,93,18,111
01/03/2009 a 31/03/2009,orkut.com.br,6421,30227,36648
01/03/2009 a 31/03/2009,orkut.co,81,45,126
,,,,
01/04/2009 a 30/04/2009,orku.com.br,14,0,14
01/04/2009 a 30/04/2009,youtube.com,63,4,67
01/04/2009 a 30/04/2009,100nonude.com,9,6,15
01/04/2009 a 30/04/2009,4shared.com,36,4,40
01/04/2009 a 30/04/2009,orkut.com,624,6120,6744
01/04/2009 a 30/04/2009,uol.com.br,102,17,119
01/04/2009 a 30/04/2009,orkut.com.br,5569,32837,38406
01/04/2009 a 30/04/2009,wordpress.com,13,7,20
01/04/2009 a 30/04/2009,world-collections.com,10,3,13
,,,,
01/05/2009 a 31/05/2009,orku.com.br,25,0,25
01/05/2009 a 31/05/2009,youtube.com,88,4,92
01/05/2009 a 31/05/2009,4shared.com,35,8,43
01/05/2009 a 31/05/2009,orkut.com,322,5345,5667
01/05/2009 a 31/05/2009,uol.com.br,108,15,123
01/05/2009 a 31/05/2009,orkut.com.br,5699,40263,45962
01/05/2009 a 31/05/2009,imagebam.com,18,10,28
01/05/2009 a 31/05/2009,wordpress.com,13,5,18
01/05/2009 a 31/05/2009,vilabol.com.br,16,0,16
,,,,
01/06/2009 a 30/06/2009,xvideos.com,12,3,15
01/06/2009 a 30/06/2009,youtube.com,49,17,66
01/06/2009 a 30/06/2009,yahoo.com,29,7,36
