Ano,Violação,Únicas,Duplicadas,Total de Denúncias
2006,Apologia e Incitação a crimes contra a Vida,9829.0,59353.0,69182
2006,Homofobia,1772.0,18320.0,20092
2006,Intolerância Religiosa,2230.0,25499.0,27729
2006,Maus Tratos Contra Animais,2854.0,52669.0,55523
2006,Neo Nazismo,3454.0,29463.0,32917
2006,Não classificado,0.0,0.0,0
2006,Pornografia Infantil,14423.0,104186.0,118609
2006,Racismo,3138.0,22697.0,25835
2006,Tráfico de Pessoas,2.0,0.0,2
2006,Violência ou Discriminação contra Mulheres,0.0,0.0,0
2006,Xenofobia,880.0,2918.0,3798
2007,Apologia e Incitação a crimes contra a Vida,13855.0,145129.0,158984
2007,Homofobia,1384.0,12133.0,13517
2007,Intolerância Religiosa,2688.0,42158.0,44846
2007,Maus Tratos Contra Animais,2060.0,58676.0,60736
2007,Neo Nazismo,3286.0,33361.0,36647
2007,Não classificado,0.0,0.0,0
2007,Pornografia Infantil,36058.0,230538.0,266596
2007,Racismo,3156.0,25667.0,28823
2007,Tráfico de Pessoas,1.0,0.0,1
2007,Violência ou Discriminação contra Mulheres,0.0,0.0,0
2007,Xenofobia,1202.0,9930.0,11132
2008,Apologia e Incitação a crimes contra a Vida,16919.0,100230.0,117149
2008,Homofobia,1569.0,6661.0,8230
2008,Intolerância Religiosa,2851.0,62407.0,65258
2008,Maus Tratos Contra Animais,2138.0,32276.0,34414
2008,Neo Nazismo,4297.0,49619.0,53916
2008,Não classificado,0.0,0.0,0
2008,Pornografia Infantil,57612.0,235593.0,293205
2008,Racismo,2944.0,22307.0,25251
2008,Tráfico de Pessoas,3.0,0.0,3
2008,Violência ou Discriminação contra Mulheres,0.0,0.0,0
2008,Xenofobia,2718.0,14246.0,16964
2009,Apologia e Incitação a crimes contra a Vida,20695.0,129415.0,150110
2009,Homofobia,2474.0,15838.0,18312
2009,Intolerância Religiosa,4110.0,68608.0,72718
2009,Maus Tratos Contra Animais,1730.0,45473.0,47203
2009,Neo Nazismo,4419.0,56432.0,60851
2009,Não classificado,0.0,0.0,0
2009,Pornografia Infantil,45167.0,227363.0,272530
2009,Racismo,3730.0,38310.0,42040
2009,Tráfico de Pessoas,24.0,0.0,24
2009,Violência ou Discriminação contra Mulheres,0.0,0.0,0
2009,Xenofobia,4490.0,38060.0,42550
2010,Apologia e Incitação a crimes contra a Vida,13056.0,42572.0,55628
2010,Homofobia,6720.0,17543.0,24263
2010,Intolerância Religiosa,1509.0,19652.0,21161
2010,Maus Tratos Contra Animais,2272.0,13128.0,15400
2010,Neo Nazismo,2500.0,20158.0,22658
2010,Não classificado,0.0,0.0,0
2010,Pornografia Infantil,38806.0,142483.0,181289
2010,Racismo,4894.0,27876.0,32770
2010,Tráfico de Pessoas,518.0,1293.0,1811
2010,Violência ou Discriminação contra Mulheres,0.0,0.0,0
2010,Xenofobia,6758.0,18445.0,25203
2011,Apologia e Incitação a crimes contra a Vida,7815.0,31080.0,38895
2011,Homofobia,4656.0,10110.0,14766
2011,Intolerância Religiosa,1280.0,10340.0,11620
2011,Maus Tratos Contra Animais,2268.0,16725.0,18993
2011,Neo Nazismo,2171.0,9696.0,11867
2011,Não classificado,0.0,0.0,0
2011,Pornografia Infantil,25910.0,111520.0,137430
2011,Racismo,10336.0,102930.0,113266
2011,Tráfico de Pessoas,541.0,1108.0,1649
2011,Violência ou Discriminação contra Mulheres,2.0,0.0,2
2011,Xenofobia,4336.0,13950.0,18286
2012,Apologia e Incitação a crimes contra a Vida,7918.0,14931.0,22849
2012,Homofobia,3580.0,5959.0,9539
2012,Intolerância Religiosa,1461.0,3759.0,5220
2012,Maus Tratos Contra Animais,2160.0,4883.0,7043
2012,Neo Nazismo,1284.0,3750.0,5034
2012,Não classificado,0.0,0.0,0
2012,Pornografia Infantil,24997.0,51268.0,76265
2012,Racismo,12368.0,39596.0,51964
2012,Tráfico de Pessoas,630.0,613.0,1243
2012,Violência ou Discriminação contra Mulheres,0.0,0.0,0
2012,Xenofobia,3337.0,3257.0,6594
2013,Apologia e Incitação a crimes contra a Vida,7389.0,24393.0,31782
2013,Homofobia,2153.0,12966.0,15119
2013,Intolerância Religiosa,1254.0,8637.0,9891
2013,Maus Tratos Contra Animais,2226.0,9388.0,11614
2013,Neo Nazismo,815.0,5339.0,6154
2013,Não classificado,0.0,0.0,0
2013,Pornografia Infantil,26150.0,55960.0,82110
2013,Racismo,13074.0,66123.0,79197
2013,Tráfico de Pessoas,839.0,1910.0,2749
2013,Violência ou Discriminação contra Mulheres,5.0,0.0,5
2013,Xenofobia,1648.0,6635.0,8283
2014,Apologia e Incitação a crimes contra a Vida,7071.0,20014.0,27085
2014,Homofobia,1459.0,3306.0,4765
2014,Intolerância Religiosa,810.0,2672.0,3482
2014,Maus Tratos Contra Animais,1551.0,4212.0,5763
2014,Neo Nazismo,567.0,2526.0,3093
2014,Não classificado,0.0,0.0,0
2014,Pornografia Infantil,24794.0,30163.0,54957
2014,Racismo,17065.0,82561.0,99626
2014,Tráfico de Pessoas,1793.0,1333.0,3126
2014,Violência ou Discriminação contra Mulheres,130.0,0.0,130
2014,Xenofobia,5899.0,3672.0,9571
2015,Apologia e Incitação a crimes contra a Vida,7009.0,22407.0,29416
2015,Homofobia,2099.0,6358.0,8457
2015,Intolerância Religiosa,1180.0,2590.0,3770
2015,Maus Tratos Contra Animais,1222.0,4126.0,5348
2015,Neo Nazismo,656.0,940.0,1596
2015,Não classificado,0.0,0.0,0
2015,Pornografia Infantil,21122.0,32208.0,53330
2015,Racismo,11512.0,52435.0,63947
2015,Tráfico de Pessoas,583.0,893.0,1476
2015,Violência ou Discriminação contra Mulheres,1372.0,9646.0,11018
2015,Xenofobia,1111.0,4549.0,5660
2016,Apologia e Incitação a crimes contra a Vida,5733.0,9785.0,15518
2016,Homofobia,1566.0,1603.0,3169
2016,Intolerância Religiosa,728.0,1357.0,2085
2016,Maus Tratos Contra Animais,910.0,2004.0,2914
2016,Neo Nazismo,407.0,344.0,751
2016,Não classificado,0.0,0.0,0
2016,Pornografia Infantil,23424.0,44906.0,68330
2016,Racismo,10593.0,31823.0,42416
2016,Tráfico de Pessoas,598.0,1228.0,1826
2016,Violência ou Discriminação contra Mulheres,1096.0,1737.0,2833
2016,Xenofobia,1136.0,721.0,1857
2017,Apologia e Incitação a crimes contra a Vida,4956.0,13114.0,18070
2017,Homofobia,1131.0,1685.0,2816
2017,Intolerância Religiosa,739.0,769.0,1508
2017,Maus Tratos Contra Animais,620.0,4410.0,5030
2017,Neo Nazismo,450.0,841.0,1291
2017,Não classificado,0.0,0.0,0
2017,Pornografia Infantil,23926.0,15074.0,39000
2017,Racismo,2981.0,4496.0,7477
2017,Tráfico de Pessoas,388.0,298.0,686
2017,Violência ou Discriminação contra Mulheres,508.0,1439.0,1947
2017,Xenofobia,674.0,842.0,1516
2018,Apologia e Incitação a crimes contra a Vida,7510.0,20514.0,28024
2018,Homofobia,1581.0,2731.0,4312
2018,Intolerância Religiosa,698.0,404.0,1102
2018,Maus Tratos Contra Animais,439.0,720.0,1159
2018,Neo Nazismo,972.0,3296.0,4268
2018,Não classificado,9.0,12.0,21
2018,Pornografia Infantil,26304.0,38389.0,64693
2018,Racismo,3159.0,5307.0,8466
2018,Tráfico de Pessoas,288.0,245.0,533
2018,Violência ou Discriminação contra Mulheres,3731.0,13319.0,17050
2018,Xenofobia,6846.0,3040.0,9886
